departamento,codigodanemunicipio,tipoarea,ano,mes,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5313,Rural,2006,1,No,Civil,Herido,Masculino,6.143703,-75.185183,Accidente por MAP,"(6.143703, -75.185183)","Pasando, estando cerca"
CAQUETA,18410,Rural,2009,12,No,Civil,Herido,Masculino,1.494944213,-75.46308951,Accidente por MAP,"(1.494944213, -75.46308951)",Erradicador manual - PCI
PUTUMAYO,86568,Rural,2008,4,No,Civil,Muerto,Masculino,0.502569,-76.49818,Accidente por MAP,"(0.502569, -76.49818)",Erradicador manual - PCI
CORDOBA,23580,Rural,2009,11,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23580,Rural,2009,11,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23580,Rural,2009,11,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23580,Rural,2009,11,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
NARINO,52079,Rural,2010,1,No,Fuerza publica,Herido,Masculino,1.5875,-78.2275,Accidente por MAP,"(1.5875, -78.2275)",Fuerza pública
ANTIOQUIA,5790,Rural,2010,1,No,Fuerza publica,Herido,Masculino,7.372777778,-75.20444444,Accidente por MAP,"(7.372777778, -75.20444444)",Fuerza pública
ANTIOQUIA,5854,Rural,2008,3,No,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
CAUCA,19821,Rural,2009,8,Indigena,Civil,Muerto,Femenino,2.955399,-76.268615,Accidente por MAP,"(2.955399, -76.268615)",Sin Información
ANTIOQUIA,5854,Rural,2008,3,No,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
CAUCA,19821,Rural,2009,8,Indigena,Civil,Herido,Masculino,2.955399,-76.268615,Accidente por MAP,"(2.955399, -76.268615)",Sin Información
NARINO,52699,Rural,2009,7,No,Civil,Herido,Femenino,1.225,-77.68,Accidente por MAP,"(1.225, -77.68)",Sin Información
ANTIOQUIA,5854,Urbana,2009,4,No,Civil,Herido,Masculino,7.274352,-75.382426,Accidente por MAP,"(7.274352, -75.382426)",Erradicador manual - PCI
ANTIOQUIA,5854,Rural,2008,3,No,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
NARINO,52612,Rural,2009,12,Indigena,Civil,Muerto,Femenino,1.212529,-77.995412,Accidente por MAP,"(1.212529, -77.995412)",Transito por via usual
GUAVIARE,95001,Rural,2009,10,No,Civil,Herido,Masculino,2.255,-71.78916667,Accidente por MAP,"(2.255, -71.78916667)",Erradicador manual - PCI
GUAVIARE,95001,Rural,2009,10,No,Civil,Herido,Masculino,2.255,-71.78916667,Accidente por MAP,"(2.255, -71.78916667)",Erradicador manual - PCI
META,50683,Rural,2009,12,No,Civil,Herido,Masculino,3.380464,-73.878772,Accidente por MAP,"(3.380464, -73.878772)",Cuidado de animales
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
BOLIVAR,13670,Rural,2009,8,No,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Erradicador manual - PCI
BOLIVAR,13670,Rural,2009,8,No,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Erradicador manual - PCI
CAQUETA,18410,Rural,2009,10,No,Civil,Herido,Masculino,1.494944213,-75.46308951,Accidente por MAP,"(1.494944213, -75.46308951)",Erradicador manual - PCI
PUTUMAYO,86757,Rural,2008,9,No,Civil,Herido,Masculino,0.343179,-76.911852,Accidente por MAP,"(0.343179, -76.911852)",Erradicador manual - PCI
ANTIOQUIA,5790,Rural,2009,7,No,Civil,Herido,Masculino,7.588312222,-75.40289444,Accidente por MAP,"(7.588312222, -75.40289444)",Erradicador manual - PCI
ANTIOQUIA,5790,Rural,2009,7,No,Civil,Herido,Masculino,7.588312222,-75.40289444,Accidente por MAP,"(7.588312222, -75.40289444)",Erradicador manual - PCI
ANTIOQUIA,5790,Rural,2009,7,No,Civil,Herido,Masculino,7.588312222,-75.40289444,Accidente por MAP,"(7.588312222, -75.40289444)",Erradicador manual - PCI
ANTIOQUIA,5790,Rural,2009,7,No,Civil,Herido,Masculino,7.588312222,-75.40289444,Accidente por MAP,"(7.588312222, -75.40289444)",Erradicador manual - PCI
ANTIOQUIA,5790,Rural,2009,7,No,Civil,Herido,Masculino,7.588312222,-75.40289444,Accidente por MAP,"(7.588312222, -75.40289444)",Erradicador manual - PCI
ANTIOQUIA,5790,Rural,2009,7,No,Civil,Herido,Masculino,7.588312222,-75.40289444,Accidente por MAP,"(7.588312222, -75.40289444)",Erradicador manual - PCI
CAUCA,19780,Rural,2010,1,No,Fuerza publica,Herido,Masculino,3.057222222,-76.77611111,Accidente por MAP,"(3.057222222, -76.77611111)",Fuerza pública
CAUCA,19780,Rural,2010,1,No,Fuerza publica,Herido,Masculino,3.057222222,-76.77611111,Accidente por MAP,"(3.057222222, -76.77611111)",Fuerza pública
BOLIVAR,13244,Rural,2010,1,No,Civil,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Trabajos de casa
CAUCA,19780,Rural,2010,1,No,Fuerza publica,Herido,Masculino,3.057222222,-76.77611111,Accidente por MAP,"(3.057222222, -76.77611111)",Fuerza pública
META,50325,Rural,2010,1,No,Fuerza publica,Muerto,Masculino,2.904166667,-71.46,Accidente por MAP,"(2.904166667, -71.46)",Fuerza publica
HUILA,41020,Rural,2010,1,No,Fuerza publica,Herido,Masculino,2.604722222,-75.13416667,Accidente por MAP,"(2.604722222, -75.13416667)",Fuerza publica
HUILA,41020,Rural,2010,1,No,Fuerza publica,Herido,Masculino,2.604722222,-75.13416667,Accidente por MAP,"(2.604722222, -75.13416667)",Fuerza publica
ANTIOQUIA,5361,Rural,2010,1,No,Fuerza publica,Herido,Masculino,7.338888889,-75.80277778,Accidente por MAP,"(7.338888889, -75.80277778)",Fuerza publica
VALLE DEL CAUCA,76275,Rural,2009,9,Indigena,Civil,Muerto,Masculino,3.326974,-76.243463,Accidente por MAP,"(3.326974, -76.243463)",Transito por trocha atajo
HUILA,41078,Rural,2010,1,No,Fuerza publica,Herido,Masculino,3.028055556,-74.90527778,Accidente por MAP,"(3.028055556, -74.90527778)",Fuerza publica
CORDOBA,23807,Rural,2010,1,No,Fuerza publica,Herido,Masculino,7.78,-76.34083333,Accidente por MAP,"(7.78, -76.34083333)",Fuerza publica
BOLIVAR,13244,Rural,2010,1,No,Civil,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Trabajos de casa
BOLIVAR,13780,Rural,1993,9,No,Civil,Herido,Masculino,9.385132,-74.663392,Accidente por MAP,"(9.385132, -74.663392)",Sin Información
VAUPES,97161,Rural,2010,1,No,Fuerza publica,Herido,Masculino,1.124166667,-71.56416667,Accidente por MAP,"(1.124166667, -71.56416667)",Fuerza publica
NORTE DE SANTANDER,54800,Rural,2010,1,No,Fuerza publica,Herido,Masculino,8.618888889,-73.17305556,Accidente por MAP,"(8.618888889, -73.17305556)",Fuerza publica
NORTE DE SANTANDER,54800,Rural,2010,1,No,Fuerza publica,Herido,Masculino,8.618888889,-73.17305556,Accidente por MAP,"(8.618888889, -73.17305556)",Fuerza publica
NORTE DE SANTANDER,54800,Rural,2010,1,No,Fuerza publica,Herido,Masculino,8.618888889,-73.17305556,Accidente por MAP,"(8.618888889, -73.17305556)",Fuerza publica
NORTE DE SANTANDER,54344,Rural,2010,2,No,Fuerza publica,Herido,Masculino,8.329444444,-73.03888889,Accidente por MAP,"(8.329444444, -73.03888889)",Fuerza publica
ANTIOQUIA,5120,Rural,2010,2,No,Fuerza publica,Herido,Masculino,7.390833333,-75.14972222,Accidente por MAP,"(7.390833333, -75.14972222)",Fuerza publica
HUILA,41020,Urbana,2008,12,No,Civil,Herido,Femenino,2.522444,-75.313361,Accidente por MAP,"(2.522444, -75.313361)",Área Despejada
HUILA,41078,Rural,2010,2,No,Fuerza publica,Herido,Masculino,3.117777778,-74.84416667,Accidente por MAP,"(3.117777778, -74.84416667)",Fuerza publica
CORDOBA,23807,Rural,2010,2,No,Fuerza publica,Herido,Masculino,7.907777778,-76.17194444,Accidente por MAP,"(7.907777778, -76.17194444)",Fuerza publica
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
ARAUCA,81591,Rural,2010,2,No,Fuerza publica,Muerto,Masculino,6.509722222,-71.14166667,Accidente por MAP,"(6.509722222, -71.14166667)",Fuerza publica
NARINO,52678,Rural,2010,2,No,Fuerza publica,Herido,Masculino,1.551944444,-77.76916667,Accidente por MAP,"(1.551944444, -77.76916667)",Fuerza publica
CAQUETA,18410,Rural,2010,2,No,Fuerza publica,Herido,Masculino,1.042222222,-75.02055556,Accidente por MAP,"(1.042222222, -75.02055556)",Fuerza publica
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
ARAUCA,81794,Rural,2009,2,Indigena,Civil,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)",Transito por via usual
CAQUETA,18410,Rural,2010,2,No,Fuerza publica,Herido,Masculino,1.120277778,-75.06166667,Accidente por MAP,"(1.120277778, -75.06166667)",Fuerza publica
CORDOBA,23807,Rural,2010,2,No,Fuerza publica,Herido,Masculino,7.756388889,-76.30277778,Accidente por MAP,"(7.756388889, -76.30277778)",Fuerza publica
GUAVIARE,95200,Rural,2010,2,No,Fuerza publica,Herido,Masculino,1.483055556,-71.57916667,Accidente por MAP,"(1.483055556, -71.57916667)",Fuerza publica
TOLIMA,73616,Rural,2010,2,No,Fuerza publica,Herido,Masculino,3.502777778,-75.76388889,Accidente por MAP,"(3.502777778, -75.76388889)",Fuerza publica
META,50325,Rural,2010,1,Indigena,Civil,Herido,Femenino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Sin Información
META,50325,Rural,2010,1,No,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Sin Información
META,50325,Rural,2010,1,Indigena,Civil,Herido,Femenino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Trabajos de casa
META,50325,Rural,2010,1,Indigena,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Agricultura
CORDOBA,23807,Rural,2010,2,No,Civil,Herido,Masculino,8.181547,-76.052223,Accidente por MAP,"(8.181547, -76.052223)",Sin Información
META,50325,Rural,2010,1,No,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Sin Información
CORDOBA,23189,Rural,2009,3,Indigena,Civil,Herido,Masculino,8.867215,-75.618582,Accidente por MAP,"(8.867215, -75.618582)","Recogiendo comida, agua ó  madera"
PUTUMAYO,86568,Rural,2010,2,No,Civil,Herido,Masculino,0.502569,-76.49818,Accidente por MAP,"(0.502569, -76.49818)",Trabajos de casa
ARAUCA,81794,Rural,2010,1,No,Civil,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)",Trabajos de casa
GUAVIARE,95015,Rural,2010,1,No,Civil,Herido,Masculino,1.958453,-72.654146,Accidente por MAP,"(1.958453, -72.654146)",Agricultura
ANTIOQUIA,5649,Rural,2000,10,No,Civil,Herido,Masculino,6.187566,-74.993636,Accidente por MAP,"(6.187566, -74.993636)",Sin Información
GUAVIARE,95200,Rural,2010,2,No,Fuerza publica,Herido,Masculino,1.458333333,-72.5225,Accidente por MAP,"(1.458333333, -72.5225)",Fuerza publica
GUAVIARE,95200,Rural,2010,2,No,Fuerza publica,Herido,Masculino,1.458333333,-72.5225,Accidente por MAP,"(1.458333333, -72.5225)",Fuerza publica
GUAVIARE,95200,Rural,2010,2,No,Fuerza publica,Herido,Masculino,1.442777778,-72.52305556,Accidente por MAP,"(1.442777778, -72.52305556)",Fuerza publica
GUAVIARE,95200,Rural,2010,2,No,Fuerza publica,Herido,Masculino,1.442777778,-72.52305556,Accidente por MAP,"(1.442777778, -72.52305556)",Fuerza publica
NORTE DE SANTANDER,54344,Rural,2010,2,No,Fuerza publica,Herido,Masculino,8.354166177,-73.0772515,Accidente por MAP,"(8.354166177, -73.0772515)",Fuerza publica
NORTE DE SANTANDER,54344,Rural,2010,2,No,Fuerza publica,Herido,Masculino,8.354166177,-73.0772515,Accidente por MAP,"(8.354166177, -73.0772515)",Fuerza publica
HUILA,41020,Rural,2010,2,No,Fuerza publica,Herido,Masculino,2.591388889,-75.13888889,Accidente por MAP,"(2.591388889, -75.13888889)",Fuerza publica
ANTIOQUIA,5045,Rural,2008,8,No,Fuerza publica,Herido,Masculino,7.904444444,-76.46194444,Accidente por MAP,"(7.904444444, -76.46194444)",Fuerza publica
ANTIOQUIA,5045,Rural,2008,8,No,Fuerza publica,Herido,Masculino,7.904444444,-76.46194444,Accidente por MAP,"(7.904444444, -76.46194444)",Fuerza publica
NORTE DE SANTANDER,54398,Rural,2010,1,No,Fuerza publica,Herido,Masculino,8.231111111,-73.08694444,Accidente por MAP,"(8.231111111, -73.08694444)",Fuerza publica
NORTE DE SANTANDER,54398,Rural,2003,5,No,Fuerza publica,Muerto,Masculino,8.231111111,-73.08694444,Accidente por MAP,"(8.231111111, -73.08694444)",Fuerza publica
PUTUMAYO,86865,Rural,2008,8,No,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicador manual - PCI
PUTUMAYO,86865,Rural,2008,8,No,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicacion de cultivos ilicitos
PUTUMAYO,86865,Rural,2008,8,No,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicacion de cultivos ilicitos
PUTUMAYO,86865,Rural,2008,8,No,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicador manual - PCI
PUTUMAYO,86865,Rural,2008,8,No,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicador manual - PCI
CAQUETA,18756,Rural,2010,3,No,Fuerza publica,Herido,Masculino,0.991388889,-75.08277778,Accidente por MAP,"(0.9913888889, -75.08277778)",Fuerza publica
NORTE DE SANTANDER,54670,Rural,2010,3,No,Fuerza publica,Herido,Masculino,8.438055556,-73.23305556,Accidente por MAP,"(8.438055556, -73.23305556)",Fuerza publica
ANTIOQUIA,5647,Rural,2010,3,No,Fuerza publica,Muerto,Masculino,6.980833333,-75.62638889,Accidente por MAP,"(6.980833333, -75.62638889)",Fuerza publica
CASANARE,85010,Rural,2010,3,No,Fuerza publica,Herido,Masculino,5.298888889,-72.60666667,Accidente por MAP,"(5.298888889, -72.60666667)",Fuerza publica
HUILA,41359,Rural,2010,3,No,Fuerza publica,Herido,Masculino,1.929816,-76.216388,Accidente por MAP,"(1.929816, -76.216388)",Fuerza publica
ARAUCA,81065,Rural,2010,3,No,Fuerza publica,Herido,Masculino,6.6275,-71.24527778,Accidente por MAP,"(6.6275, -71.24527778)",Fuerza publica
ARAUCA,81065,Rural,2010,3,No,Fuerza publica,Herido,Masculino,6.6275,-71.24527778,Accidente por MAP,"(6.6275, -71.24527778)",Fuerza publica
CAQUETA,18592,Rural,2010,3,No,Fuerza publica,Herido,Masculino,2.101666667,-75.035,Accidente por MAP,"(2.101666667, -75.035)",Fuerza publica
CAQUETA,18001,Rural,2010,3,No,Fuerza publica,Herido,Masculino,1.968888889,-75.48611111,Accidente por MAP,"(1.968888889, -75.48611111)",Fuerza publica
ANTIOQUIA,5001,Rural,2010,3,No,Fuerza publica,Herido,Masculino,6.229209,-75.564887,Accidente por MAP,"(6.229209, -75.564887)",Fuerza publica
NARINO,52678,Rural,2010,3,No,Fuerza publica,Herido,Masculino,1.576944444,-77.81277778,Accidente por MAP,"(1.576944444, -77.81277778)",Fuerza publica
ARAUCA,81794,Rural,2010,3,No,Fuerza publica,Muerto,Masculino,6.459722222,-71.3625,Accidente por MAP,"(6.459722222, -71.3625)",Fuerza publica
ARAUCA,81794,Rural,2010,3,No,Fuerza publica,Herido,Masculino,6.459722222,-71.3625,Accidente por MAP,"(6.459722222, -71.3625)",Fuerza publica
ANTIOQUIA,5313,Rural,2004,11,No,Fuerza publica,Herido,Masculino,6.111667,-75.095833,Accidente por MAP,"(6.111667, -75.095833)",Fuerza publica
HUILA,41206,Rural,2009,3,No,Civil,Herido,Masculino,3.375361,-74.802161,Accidente por MAP,"(3.375361, -74.802161)",Transito por via usual
NORTE DE SANTANDER,54250,Rural,2008,10,No,Civil,Herido,Masculino,8.58341,-73.09211202,Accidente por MAP,"(8.58341, -73.09211202)",Erradicador manual - PCI
META,50590,Rural,2006,3,No,Civil,Herido,Masculino,2.939542,-73.207891,Accidente por MAP,"(2.939542, -73.207891)",Erradicador manual - PCI
CAUCA,19075,Rural,2006,9,No,Civil,Herido,Masculino,2.039527,-77.217142,Accidente por MAP,"(2.039527, -77.217142)",Erradicador manual - PCI
CAUCA,19075,Rural,2006,9,No,Civil,Herido,Masculino,2.039527,-77.217142,Accidente por MAP,"(2.039527, -77.217142)",Erradicador manual - PCI
BOLIVAR,13688,Rural,2010,2,No,Civil,Herido,Masculino,7.963275,-74.051674,Accidente por MAP,"(7.963275, -74.051674)",Jugando
META,50370,Rural,2009,5,No,Fuerza publica,Herido,Masculino,3.050833333,-74.44111111,Accidente por MAP,"(3.050833333, -74.44111111)",Fuerza publica
NARINO,52699,Rural,2008,5,Indigena,Civil,Muerto,Masculino,1.22182,-77.677265,Accidente por MAP,"(1.22182, -77.677265)",Sin Información
NARINO,52678,Rural,2007,2,No,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)",Sin Información
NARINO,52678,Rural,2006,11,No,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)",Sin Información
ARAUCA,81794,Rural,2009,1,No,Civil,Muerto,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)",Sin Información
ARAUCA,81794,Rural,2009,1,No,Civil,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)",Sin Información
NORTE DE SANTANDER,54810,Rural,2009,9,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
PUTUMAYO,86865,Rural,2008,8,No,Civil,Muerto,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicador manual - PCI
PUTUMAYO,86865,Rural,2008,8,No,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicacion de cultivos ilicitos
ANTIOQUIA,5660,Rural,2008,10,No,Fuerza publica,Herido,Masculino,6.058611111,-75.06555556,Accidente por MAP,"(6.058611111, -75.06555556)",Fuerza publica
CAQUETA,18610,Rural,2009,3,No,Fuerza publica,Herido,Masculino,1.270555556,-76.19138889,Accidente por MAP,"(1.270555556, -76.19138889)",Fuerza publica
